Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,Estimate; With a mortgage: - Less than 2.0,Margin of Error; With a mortgage: - Less than 2.0,Estimate; With a mortgage: - 2.0 to 2.9,Margin of Error; With a mortgage: - 2.0 to 2.9,Estimate; With a mortgage: - 3.0 to 3.9,Margin of Error; With a mortgage: - 3.0 to 3.9,Estimate; With a mortgage: - 4.0 or more,Margin of Error; With a mortgage: - 4.0 or more,Estimate; With a mortgage: - Not computed,Margin of Error; With a mortgage: - Not computed,Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,Estimate; Not mortgaged: - Less than 2.0,Margin of Error; Not mortgaged: - Less than 2.0,Estimate; Not mortgaged: - 2.0 to 2.9,Margin of Error; Not mortgaged: - 2.0 to 2.9,Estimate; Not mortgaged: - 3.0 to 3.9,Margin of Error; Not mortgaged: - 3.0 to 3.9,Estimate; Not mortgaged: - 4.0 or more,Margin of Error; Not mortgaged: - 4.0 or more,Estimate; Not mortgaged: - Not computed,Margin of Error; Not mortgaged: - Not computed
0500000US06023,6023,"Humboldt County, California",2007,30514,1785,17020,1674,1065,551,1332,500,3239,759,11105,1323,279,344,13494,1161,1963,639,989,388,1659,680,8849,1058,34,66
0500000US06025,6025,"Imperial County, California",2007,22774,1899,15608,1806,1562,530,2723,822,2953,732,8370,1442,0,292,7166,991,1451,483,584,222,595,324,4536,867,0,292
0500000US06029,6029,"Kern County, California",2007,147822,3929,113124,3773,11402,1622,22079,1926,18818,2152,60539,3254,286,339,34698,2074,6843,1174,3426,847,3571,888,20755,1746,103,121
0500000US06031,6031,"Kings County, California",2007,23535,1440,18414,1522,2403,872,3584,844,4314,1186,7899,1290,214,261,5121,795,437,220,591,345,512,241,3396,775,185,204
0500000US06033,6033,"Lake County, California",2007,16763,1774,9458,1575,827,671,917,490,1329,696,6385,1528,0,292,7305,1190,1150,496,620,414,594,363,4941,1093,0,292
0500000US06037,6037,"Los Angeles County, California",2007,1558468,13095,1201197,13004,48780,2815,67530,3329,121938,4943,957788,11785,5161,1222,357271,7044,29379,2372,16149,1816,19006,2059,289817,7201,2920,869
0500000US06039,6039,"Madera County, California",2007,27034,1646,19179,1606,1852,615,2577,830,2113,735,12637,1534,0,292,7855,1036,1381,516,431,337,605,283,5387,1056,51,85
0500000US06041,6041,"Marin County, California",2007,64824,2754,48764,2647,2154,619,2469,762,4779,1027,39173,2555,189,143,16060,1854,955,405,730,429,1052,453,13263,1715,60,101
0500000US06045,6045,"Mendocino County, California",2007,21300,1535,11172,1239,140,146,846,485,436,232,9750,1234,0,292,10128,1265,1401,567,594,401,634,332,7473,1111,26,44
0500000US06047,6047,"Merced County, California",2007,41790,2430,32201,2277,2342,725,3591,967,5304,1184,20539,2139,425,467,9589,1220,1906,600,902,417,434,336,6195,1113,152,149
0500000US06053,6053,"Monterey County, California",2007,64807,2875,49020,2896,1159,477,1926,708,3531,924,42086,2399,318,294,15787,1606,1538,593,1125,467,642,309,12394,1439,88,100
