Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median value for units with a mortgage,Margin of Error; Total: - Median value for units with a mortgage,Estimate; Total: - Median value for units without a mortgage,Margin of Error; Total: - Median value for units without a mortgage
0500000US06039,6039,"Madera County, California",2010,203900,20534,198400,21215,220400,29459
0500000US06041,6041,"Marin County, California",2010,775200,25501,797500,27715,711400,36308
0500000US06045,6045,"Mendocino County, California",2010,360200,22336,377200,27694,335800,37635
0500000US06047,6047,"Merced County, California",2010,146100,10127,147400,12582,142700,16282
0500000US06053,6053,"Monterey County, California",2010,381700,12839,365200,14225,451400,49314
0500000US06055,6055,"Napa County, California",2010,424100,34194,432100,37390,391100,82379
0500000US06057,6057,"Nevada County, California",2010,369300,14132,376600,18083,349100,31547
0500000US06059,6059,"Orange County, California",2010,528200,6500,546700,7523,465000,13004
0500000US06061,6061,"Placer County, California",2010,344100,8339,343600,8718,346100,16671
0500000US06065,6065,"Riverside County, California",2010,227900,2802,237600,3162,178000,14067
0500000US06067,6067,"Sacramento County, California",2010,240200,3460,242700,4374,228600,9882
0500000US06071,6071,"San Bernardino County, California",2010,221700,5300,236900,5481,166600,7103
0500000US06073,6073,"San Diego County, California",2010,407000,5547,418800,6454,369100,8642
0500000US06075,6075,"San Francisco County, California",2010,768000,19204,776900,22744,748600,30540
0500000US06077,6077,"San Joaquin County, California",2010,213400,4739,217800,6312,188400,22684
0500000US06079,6079,"San Luis Obispo County, California",2010,425200,16140,444500,18159,371300,26684
0500000US06081,6081,"San Mateo County, California",2010,729500,14036,733700,16460,717500,23959
0500000US06083,6083,"Santa Barbara County, California",2010,446800,28795,453500,32253,428600,60510
0500000US06085,6085,"Santa Clara County, California",2010,639400,8631,643100,9518,626400,18821
0500000US06087,6087,"Santa Cruz County, California",2010,558000,16351,574200,17364,507600,74703
0500000US06089,6089,"Shasta County, California",2010,225600,11214,237600,12965,195500,25133
0500000US06095,6095,"Solano County, California",2010,262600,9034,270500,8792,231800,14122
0500000US06097,6097,"Sonoma County, California",2010,414000,11680,418600,14324,402500,19881
0500000US06099,6099,"Stanislaus County, California",2010,176800,5404,181400,5724,162600,7770
0500000US06101,6101,"Sutter County, California",2010,206600,11044,216400,10464,175200,19497
0500000US06107,6107,"Tulare County, California",2010,170300,4846,174800,7815,150000,11234
0500000US06111,6111,"Ventura County, California",2010,458200,8696,465700,9616,425100,28039
0500000US06113,6113,"Yolo County, California",2010,324800,19017,330800,19590,299700,43068
0500000US06115,6115,"Yuba County, California",2010,173700,11509,180700,13980,139000,42732
0500000US06001,6001,"Alameda County, California",2011,480700,8458,484500,9860,464600,19012
0500000US06007,6007,"Butte County, California",2011,226600,12429,238900,14971,190900,32170
0500000US06013,6013,"Contra Costa County, California",2011,391400,9627,397800,12621,364600,27773
0500000US06017,6017,"El Dorado County, California",2011,337900,13234,343000,13852,316200,38268
0500000US06019,6019,"Fresno County, California",2011,184300,6726,188900,7261,171100,5987
0500000US06023,6023,"Humboldt County, California",2011,304900,16135,313500,19045,293000,19174
0500000US06025,6025,"Imperial County, California",2011,130800,11389,144300,9264,93200,13254
0500000US06029,6029,"Kern County, California",2011,155900,3998,164500,4700,122300,11045
0500000US06031,6031,"Kings County, California",2011,169600,7319,178200,9413,117600,13259
0500000US06033,6033,"Lake County, California",2011,192200,26277,217700,41204,113700,70128
0500000US06037,6037,"Los Angeles County, California",2011,410600,3285,410100,3946,412500,8666
0500000US06039,6039,"Madera County, California",2011,169300,6393,172200,8076,160500,19844
0500000US06041,6041,"Marin County, California",2011,730500,23572,752900,36212,671600,42968
0500000US06045,6045,"Mendocino County, California",2011,298900,24756,330000,32206,252800,50807
0500000US06047,6047,"Merced County, California",2011,146700,8538,152700,7362,121300,10399
0500000US06053,6053,"Monterey County, California",2011,332300,19058,325500,21210,361500,48397
0500000US06055,6055,"Napa County, California",2011,395700,26415,421600,40260,297100,55977
0500000US06057,6057,"Nevada County, California",2011,340400,16998,351500,19985,300300,41784
0500000US06059,6059,"Orange County, California",2011,506300,7233,518200,8268,471500,13534
0500000US06061,6061,"Placer County, California",2011,321700,10721,319700,12617,327700,22162
