Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,"Estimate; With a mortgage: - Less than $50,000","Margin of Error; With a mortgage: - Less than $50,000","Estimate; With a mortgage: - $50,000 to $99,999","Margin of Error; With a mortgage: - $50,000 to $99,999","Estimate; With a mortgage: - $100,000 to $149,999","Margin of Error; With a mortgage: - $100,000 to $149,999","Estimate; With a mortgage: - $150,000 to $199,999","Margin of Error; With a mortgage: - $150,000 to $199,999","Estimate; With a mortgage: - $200,000 to $299,999","Margin of Error; With a mortgage: - $200,000 to $299,999","Estimate; With a mortgage: - $300,000 to $499,999","Margin of Error; With a mortgage: - $300,000 to $499,999","Estimate; With a mortgage: - $500,000 or more","Margin of Error; With a mortgage: - $500,000 or more",Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,"Estimate; Not mortgaged: - Less than $50,000","Margin of Error; Not mortgaged: - Less than $50,000","Estimate; Not mortgaged: - $50,000 to $99,999","Margin of Error; Not mortgaged: - $50,000 to $99,999","Estimate; Not mortgaged: - $100,000 to $149,999","Margin of Error; Not mortgaged: - $100,000 to $149,999","Estimate; Not mortgaged: - $150,000 to $199,999","Margin of Error; Not mortgaged: - $150,000 to $199,999","Estimate; Not mortgaged: - $200,000 to $299,999","Margin of Error; Not mortgaged: - $200,000 to $299,999","Estimate; Not mortgaged: - $300,000 to $499,999","Margin of Error; Not mortgaged: - $300,000 to $499,999","Estimate; Not mortgaged: - $500,000 or more","Margin of Error; Not mortgaged: - $500,000 or more"
0500000US06059,6059,"Orange County, California",2006,605615,6967,474101,7649,2706,1049,7663,1419,3459,786,3278,765,10352,1412,62957,3746,383686,7978,131514,4485,6784,1295,8360,1263,4405,1040,3530,864,8256,1417,17111,1671,83068,3605
0500000US06061,6061,"Placer County, California",2006,89272,2523,68151,2502,330,286,533,355,235,167,456,252,2013,645,27669,2455,36915,2425,21121,1735,827,357,1352,608,680,419,403,270,1582,586,7624,1184,8653,1150
0500000US06065,6065,"Riverside County, California",2006,444836,6011,338553,6134,2425,673,4968,1104,5546,1032,8505,1322,32922,2939,168137,6160,116050,4491,106283,3679,15205,1515,10159,1061,5644,1034,7822,1266,15105,1504,30698,1975,21650,2121
0500000US06067,6067,"Sacramento County, California",2006,306047,6029,244003,6011,1849,579,1994,501,1554,564,5777,1115,30749,2134,136844,5051,65236,3291,62044,3047,5417,1175,3162,775,1790,433,3166,778,10249,1445,26140,2290,12120,1518
0500000US06071,6071,"San Bernardino County, California",2006,393257,6526,311681,6264,3184,960,5425,1063,7176,1256,10320,1498,42626,3680,159649,5847,83301,4317,81576,3953,13983,1856,8508,1237,5533,1184,4390,1107,12243,1545,25772,2448,11147,1645
0500000US06073,6073,"San Diego County, California",2006,599242,8305,460541,8017,2761,783,4568,936,2957,815,4511,916,19816,2094,130136,5559,295792,6631,138701,4039,10005,1539,9726,1450,4892,999,4223,996,7603,945,34058,2523,68194,3054
0500000US06075,6075,"San Francisco County, California",2006,126712,4349,87731,3812,298,207,1649,610,262,178,531,273,1686,543,4348,923,78957,3786,38981,2330,295,170,1196,619,472,329,269,210,1001,386,1498,601,34250,2267
0500000US06077,6077,"San Joaquin County, California",2006,132481,3772,101335,3950,1100,430,763,325,952,473,2106,652,10560,1343,50946,2787,34908,2665,31146,2155,3320,834,2109,564,1328,509,1208,344,4903,870,11272,1428,7006,1241
0500000US06079,6079,"San Luis Obispo County, California",2006,60654,2209,42695,2256,371,311,203,186,297,290,505,359,1447,515,12575,1520,27297,1899,17959,1608,844,339,606,299,840,495,658,423,1394,434,4249,877,9368,1273
0500000US06081,6081,"San Mateo County, California",2006,159025,3815,118743,3870,617,314,2150,517,700,383,437,376,1701,704,7216,1176,105922,3841,40282,2749,724,489,1150,457,1154,522,433,267,1183,587,2253,684,33385,2468
