Id,Id2,Geography,Year,Estimate; Total,Margin of Error; Total
0500000US06115,6115,"Yuba County, California",2011,27537,241
0500000US06001,6001,"Alameda County, California",2012,583618,925
0500000US06007,6007,"Butte County, California",2012,96000,707
0500000US06013,6013,"Contra Costa County, California",2012,401397,438
0500000US06017,6017,"El Dorado County, California",2012,88109,239
0500000US06019,6019,"Fresno County, California",2012,318451,592
0500000US06023,6023,"Humboldt County, California",2012,61659,418
0500000US06025,6025,"Imperial County, California",2012,56117,412
0500000US06029,6029,"Kern County, California",2012,285867,822
0500000US06031,6031,"Kings County, California",2012,44193,446
0500000US06033,6033,"Lake County, California",2012,35272,261
0500000US06037,6037,"Los Angeles County, California",2012,3444644,1999
0500000US06039,6039,"Madera County, California",2012,49422,382
0500000US06041,6041,"Marin County, California",2012,111083,517
0500000US06045,6045,"Mendocino County, California",2012,40336,220
0500000US06047,6047,"Merced County, California",2012,83571,1069
0500000US06053,6053,"Monterey County, California",2012,138871,517
0500000US06055,6055,"Napa County, California",2012,54736,595
0500000US06057,6057,"Nevada County, California",2012,52623,327
0500000US06059,6059,"Orange County, California",2012,1052535,959
0500000US06061,6061,"Placer County, California",2012,154382,432
0500000US06065,6065,"Riverside County, California",2012,805050,953
0500000US06067,6067,"Sacramento County, California",2012,556314,887
0500000US06071,6071,"San Bernardino County, California",2012,700200,1009
0500000US06073,6073,"San Diego County, California",2012,1169225,1389
0500000US06075,6075,"San Francisco County, California",2012,376899,1449
0500000US06077,6077,"San Joaquin County, California",2012,234605,581
0500000US06079,6079,"San Luis Obispo County, California",2012,117552,845
0500000US06081,6081,"San Mateo County, California",2012,270714,484
0500000US06083,6083,"Santa Barbara County, California",2012,152699,726
0500000US06085,6085,"Santa Clara County, California",2012,636293,1139
0500000US06087,6087,"Santa Cruz County, California",2012,104286,642
0500000US06089,6089,"Shasta County, California",2012,77308,313
0500000US06095,6095,"Solano County, California",2012,153035,612
0500000US06097,6097,"Sonoma County, California",2012,204760,1016
0500000US06099,6099,"Stanislaus County, California",2012,179199,461
0500000US06101,6101,"Sutter County, California",2012,33881,111
0500000US06107,6107,"Tulare County, California",2012,143458,361
0500000US06111,6111,"Ventura County, California",2012,281700,558
0500000US06113,6113,"Yolo County, California",2012,75265,495
0500000US06115,6115,"Yuba County, California",2012,27608,278
0500000US06001,6001,"Alameda County, California",2013,587829,758
0500000US06007,6007,"Butte County, California",2013,96586,464
0500000US06013,6013,"Contra Costa County, California",2013,404167,444
0500000US06017,6017,"El Dorado County, California",2013,88483,277
0500000US06019,6019,"Fresno County, California",2013,320796,559
0500000US06023,6023,"Humboldt County, California",2013,61976,401
0500000US06025,6025,"Imperial County, California",2013,56492,306
0500000US06029,6029,"Kern County, California",2013,288383,902
0500000US06031,6031,"Kings County, California",2013,44522,428
0500000US06033,6033,"Lake County, California",2013,35426,315
0500000US06037,6037,"Los Angeles County, California",2013,3462431,2151
0500000US06039,6039,"Madera County, California",2013,49566,305
0500000US06041,6041,"Marin County, California",2013,111566,501
0500000US06045,6045,"Mendocino County, California",2013,40477,208
0500000US06047,6047,"Merced County, California",2013,83842,859
0500000US06053,6053,"Monterey County, California",2013,139386,496
0500000US06055,6055,"Napa County, California",2013,54939,329
0500000US06057,6057,"Nevada County, California",2013,52784,253
0500000US06059,6059,"Orange County, California",2013,1060030,812
0500000US06061,6061,"Placer County, California",2013,155879,412
0500000US06065,6065,"Riverside County, California",2013,811100,905
0500000US06067,6067,"Sacramento County, California",2013,558823,996
