Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US06017,6017,"El Dorado County, California",2010,178853,2328,135551,6368,43302,5920
0500000US06019,6019,"Fresno County, California",2010,919398,3030,486891,16443,432507,17221
0500000US06023,6023,"Humboldt County, California",2010,131541,2449,77189,4985,54352,4576
0500000US06025,6025,"Imperial County, California",2010,164457,1664,95631,6479,68826,6285
0500000US06029,6029,"Kern County, California",2010,809140,3884,462663,13440,346477,13568
0500000US06031,6031,"Kings County, California",2010,137726,3172,69371,5509,68355,5971
0500000US06033,6033,"Lake County, California",2010,64771,294,41179,4226,23592,4226
0500000US06037,6037,"Los Angeles County, California",2010,9640704,13406,4806731,49021,4833973,48359
0500000US06039,6039,"Madera County, California",2010,143377,2239,77432,6270,65945,6286
0500000US06041,6041,"Marin County, California",2010,243676,3531,162063,6265,81613,5575
0500000US06045,6045,"Mendocino County, California",2010,84407,2694,46242,4338,38165,4558
0500000US06047,6047,"Merced County, California",2010,253748,2159,135628,8990,118120,8753
0500000US06053,6053,"Monterey County, California",2010,398079,5143,194351,10435,203728,10383
0500000US06055,6055,"Napa County, California",2010,131365,2514,81863,5658,49502,5267
0500000US06057,6057,"Nevada County, California",2010,97774,1697,68129,4213,29645,3907
0500000US06059,6059,"Orange County, California",2010,2979751,7795,1759029,24023,1220722,24255
0500000US06061,6061,"Placer County, California",2010,347440,1627,254912,8057,92528,8301
0500000US06065,6065,"Riverside County, California",2010,2173191,3343,1458459,23838,714732,23694
0500000US06067,6067,"Sacramento County, California",2010,1390863,6294,795015,17708,595848,18454
0500000US06071,6071,"San Bernardino County, California",2010,2003929,4908,1246952,26368,756977,26068
0500000US06073,6073,"San Diego County, California",2010,3001772,15005,1627386,30620,1374386,27058
0500000US06075,6075,"San Francisco County, California",2010,796110,3318,339875,13574,456235,13988
0500000US06077,6077,"San Joaquin County, California",2010,668614,7862,373793,14406,294821,14645
0500000US06079,6079,"San Luis Obispo County, California",2010,255070,3033,147918,7619,107152,7270
0500000US06081,6081,"San Mateo County, California",2010,713124,2463,426600,13137,286524,12887
0500000US06083,6083,"Santa Barbara County, California",2010,407752,4485,207508,8624,200244,9780
