GeoID,Date,Total: - Less than 10.0 percent,Total: - 10.0 to 14.9 percent,Total: - 15.0 to 19.9 percent,Total: - 20.0 to 24.9 percent,Total: - 25.0 to 29.9 percent,Total: - 30.0 to 34.9 percent,Total: - 35.0 to 39.9 percent,Total: - 40.0 to 49.9 percent,Total: - 50.0 percent or more,Total: - Not computed
6077,12/31/2010,0.0135,0.0489,0.0835,0.1051,0.1238,0.1023,0.0714,0.0988,0.2959,0.0570
6079,12/31/2010,0.0204,0.0459,0.0870,0.1012,0.1044,0.0797,0.0895,0.1022,0.2965,0.0732
6081,12/31/2010,0.0225,0.0795,0.1445,0.1374,0.1166,0.0958,0.0644,0.0919,0.2041,0.0432
6083,12/31/2010,0.0183,0.0559,0.1053,0.1104,0.1108,0.0690,0.0552,0.0803,0.3193,0.0754
6085,12/31/2010,0.0338,0.1078,0.1381,0.1167,0.1073,0.0932,0.0542,0.0788,0.2332,0.0369
6087,12/31/2010,0.0110,0.0405,0.0942,0.1124,0.1187,0.1374,0.0494,0.0837,0.2802,0.0725
6089,12/31/2010,0.0215,0.0611,0.0532,0.1136,0.0999,0.0766,0.0798,0.0934,0.3372,0.0636
6095,12/31/2010,0.0156,0.0513,0.0958,0.1500,0.1112,0.0897,0.0692,0.0916,0.2797,0.0459
6097,12/31/2010,0.0169,0.0411,0.0883,0.1339,0.1140,0.0831,0.0895,0.1009,0.2809,0.0514
6099,12/31/2010,0.0117,0.0626,0.0832,0.1099,0.1228,0.0665,0.0570,0.0761,0.3359,0.0744
6101,12/31/2010,0.0149,0.0777,0.1751,0.1366,0.1318,0.1036,0.0337,0.0832,0.1859,0.0574
6107,12/31/2010,0.0373,0.0783,0.0907,0.1196,0.0935,0.0706,0.0659,0.1070,0.2712,0.0658
6111,12/31/2010,0.0213,0.0506,0.1055,0.1162,0.1346,0.0944,0.0607,0.1226,0.2587,0.0355
6113,12/31/2010,0.0172,0.0503,0.0526,0.1446,0.1092,0.1111,0.0627,0.0945,0.3169,0.0410
6115,12/31/2010,0.0000,0.0212,0.0940,0.1684,0.1409,0.0840,0.0814,0.1047,0.2332,0.0721
6001,12/31/2009,0.0245,0.0813,0.1265,0.1286,0.1364,0.0948,0.0593,0.0811,0.2355,0.0320
6007,12/31/2009,0.0175,0.0434,0.1088,0.0914,0.1459,0.0846,0.0664,0.0648,0.3068,0.0703
