GeoID,Date,"Car, truck, or van:","Car, truck, or van: - Drove alone","Car, truck, or van: - Carpooled:","Car, truck, or van: - Carpooled: - In 2-person carpool","Car, truck, or van: - Carpooled: - In 3-person carpool","Car, truck, or van: - Carpooled: - In 4-person carpool","Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Public transportation (excluding taxicab):,Public transportation (excluding taxicab): - Bus or trolley bus,Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Public transportation (excluding taxicab): - Subway or elevated,Public transportation (excluding taxicab): - Railroad,Public transportation (excluding taxicab): - Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
6059,31/12/2008,0.8861,0.7686,0.1175,0.0895,0.0175,0.0054,0.0028,0.0022,0.0328,0.0290,0.0001,0.0002,0.0035,0.0000,0.0002,0.0036,0.0090,0.0199,0.0044,0.0440
6061,31/12/2008,0.8874,0.8045,0.0829,0.0657,0.0093,0.0049,0.0013,0.0016,0.0074,0.0074,0.0000,0.0000,0.0000,0.0000,0.0004,0.0080,0.0054,0.0152,0.0088,0.0675
6065,31/12/2008,0.8876,0.7557,0.1320,0.1039,0.0167,0.0066,0.0019,0.0029,0.0133,0.0123,0.0006,0.0001,0.0003,0.0000,0.0001,0.0034,0.0056,0.0238,0.0059,0.0602
6067,31/12/2008,0.8704,0.7368,0.1336,0.1080,0.0141,0.0062,0.0016,0.0037,0.0359,0.0258,0.0046,0.0025,0.0029,0.0001,0.0005,0.0041,0.0135,0.0212,0.0083,0.0462
6071,31/12/2008,0.9097,0.7826,0.1270,0.0958,0.0169,0.0082,0.0037,0.0024,0.0128,0.0114,0.0009,0.0000,0.0003,0.0001,0.0001,0.0046,0.0038,0.0207,0.0060,0.0423
6073,31/12/2008,0.8592,0.7426,0.1166,0.0910,0.0150,0.0054,0.0026,0.0025,0.0328,0.0268,0.0031,0.0003,0.0024,0.0002,0.0002,0.0056,0.0062,0.0320,0.0067,0.0574
6075,31/12/2008,0.4758,0.3646,0.1112,0.0729,0.0274,0.0058,0.0018,0.0033,0.3636,0.1847,0.0221,0.1262,0.0244,0.0063,0.0024,0.0077,0.0201,0.0667,0.0103,0.0534
6077,31/12/2008,0.9020,0.7704,0.1316,0.0921,0.0219,0.0071,0.0051,0.0053,0.0065,0.0063,0.0000,0.0002,0.0000,0.0000,0.0000,0.0058,0.0047,0.0203,0.0153,0.0454
6079,31/12/2008,0.8376,0.7376,0.1001,0.0718,0.0190,0.0065,0.0003,0.0024,0.0155,0.0120,0.0000,0.0035,0.0000,0.0000,0.0000,0.0054,0.0246,0.0448,0.0093,0.0627
6081,31/12/2008,0.8549,0.7267,0.1282,0.0903,0.0195,0.0077,0.0061,0.0046,0.0479,0.0239,0.0002,0.0153,0.0084,0.0000,0.0003,0.0046,0.0112,0.0277,0.0119,0.0416
