GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
6055,12/31/2009,49014,1549,1717,705,1655,615,2198,779,1253,586,1472,832,2779,1090,2546,987,1920,642,2022,580,3733,923,5122,1319,5930,1387,4972,1083,3729,828,3787,1067,4179,983
6055,12/31/2010,49754,1583,1966,708,2954,860,2779,741,2079,920,1853,605,2224,776,2188,671,2215,648,1481,737,3506,966,4982,1083,7085,1273,5365,1190,2360,775,3094,742,3623,988
6055,12/31/2011,49933,1264,1550,586,2704,987,2188,729,2564,933,2170,795,2077,651,2282,878,2710,801,2965,913,3110,997,5156,1247,6385,1265,4493,1011,2432,644,3455,920,3692,799
6055,12/31/2012,48224,1493,1870,531,2074,572,1646,549,1578,500,1801,644,2253,592,1933,531,1948,606,2274,802,3487,747,5250,1004,6835,986,4825,980,3321,624,3570,732,3559,729
6055,12/31/2013,47482,1286,1382,484,2377,774,1332,625,3129,889,1927,589,1825,538,1567,530,1996,668,1757,537,3523,839,4360,941,6424,1022,5257,970,3485,799,2926,699,4215,833
6057,12/31/2005,39402,1354,2019,878,2020,672,1795,641,2964,1029,2858,800,1486,786,1626,704,2014,653,1994,551,3970,990,4230,992,5231,1079,2712,812,1832,649,1507,554,1144,597
6057,12/31/2006,39426,1503,1565,587,2327,760,2045,685,1969,627,1902,716,2574,835,3239,1083,1962,802,1831,836,4226,956,3428,997,4339,881,3043,659,1926,637,1735,610,1315,607
6057,12/31/2007,39708,1577,1521,543,2051,775,1288,523,1746,1021,2889,995,1354,563,1625,935,2886,836,1329,591,3672,885,5223,1129,5414,1032,4320,1233,1615,690,1641,564,1134,491
6057,12/31/2008,41529,1730,1915,723,2903,1156,1580,654,2153,784,2744,842,1506,580,2173,810,2792,1288,2145,751,2994,829,4796,1059,5066,1225,4238,869,2074,735,1444,444,1006,495
6057,12/31/2009,39718,1799,2086,760,1815,472,1761,656,2641,867,1892,650,1849,640,2165,783,1904,588,1264,420,3304,780,3841,964,5930,1269,3569,828,1546,562,2204,710,1947,761
