GeoID,Date,With a mortgage:,With a mortgage: - Less than 2.0,With a mortgage: - 2.0 to 2.9,With a mortgage: - 3.0 to 3.9,With a mortgage: - 4.0 or more,With a mortgage: - Not computed,Not mortgaged:,Not mortgaged: - Less than 2.0,Not mortgaged: - 2.0 to 2.9,Not mortgaged: - 3.0 to 3.9,Not mortgaged: - 4.0 or more,Not mortgaged: - Not computed
6029,31/12/2009,0.7490,0.2429,0.1831,0.1133,0.2062,0.0036,0.2510,0.0932,0.0379,0.0253,0.0929,0.0017
6031,31/12/2009,0.7533,0.1251,0.1988,0.1580,0.2696,0.0019,0.2467,0.0641,0.0411,0.0380,0.1027,0.0008
6033,31/12/2009,0.6380,0.1109,0.1724,0.0968,0.2405,0.0175,0.3620,0.0737,0.0170,0.0338,0.2228,0.0148
6037,31/12/2009,0.7762,0.0638,0.1101,0.1260,0.4715,0.0047,0.2238,0.0267,0.0168,0.0183,0.1590,0.0030
6039,31/12/2009,0.7140,0.1371,0.1579,0.1477,0.2585,0.0128,0.2860,0.0741,0.0414,0.0306,0.1399,0.0000
6041,31/12/2009,0.7221,0.0298,0.0570,0.1163,0.5122,0.0069,0.2779,0.0232,0.0094,0.0229,0.2196,0.0027
6045,31/12/2009,0.5777,0.0416,0.0654,0.1001,0.3653,0.0053,0.4223,0.0597,0.0304,0.0245,0.3051,0.0025
6047,31/12/2009,0.7241,0.2586,0.1741,0.0877,0.2007,0.0029,0.2759,0.1018,0.0337,0.0313,0.1092,0.0000
6053,31/12/2009,0.7391,0.0892,0.1323,0.1173,0.3942,0.0061,0.2609,0.0351,0.0217,0.0210,0.1824,0.0007
6055,31/12/2009,0.6929,0.0699,0.1165,0.1198,0.3827,0.0040,0.3071,0.0667,0.0329,0.0240,0.1836,0.0000
6057,31/12/2009,0.6896,0.0932,0.0633,0.0759,0.4551,0.0020,0.3104,0.0356,0.0274,0.0200,0.2206,0.0068
6059,31/12/2009,0.7598,0.0538,0.0957,0.1312,0.4753,0.0039,0.2402,0.0288,0.0207,0.0219,0.1659,0.0029
6061,31/12/2009,0.7542,0.0789,0.1794,0.1366,0.3549,0.0044,0.2458,0.0339,0.0313,0.0261,0.1525,0.0021
6065,31/12/2009,0.7518,0.1558,0.1832,0.1371,0.2707,0.0049,0.2482,0.0676,0.0289,0.0257,0.1231,0.0029
6067,31/12/2009,0.7674,0.1498,0.2055,0.1371,0.2710,0.0041,0.2326,0.0459,0.0321,0.0342,0.1197,0.0007
6071,31/12/2009,0.7854,0.1689,0.1846,0.1423,0.2853,0.0043,0.2146,0.0605,0.0263,0.0241,0.1007,0.0030
6073,31/12/2009,0.7656,0.0669,0.1262,0.1398,0.4275,0.0052,0.2344,0.0342,0.0211,0.0203,0.1560,0.0028
6075,31/12/2009,0.7174,0.0314,0.0782,0.0921,0.5138,0.0019,0.2826,0.0157,0.0136,0.0159,0.2324,0.0050
