GeoID,Date,Worked in state of residence:,Worked in state of residence: - Worked in county of residence,Worked in state of residence: - Worked outside county of residence,Worked outside state of residence,"Car, truck, or van - drove alone:","Car, truck, or van - drove alone: - Worked in state of residence:","Car, truck, or van - drove alone: - Worked in state of residence: - Worked in county of residence","Car, truck, or van - drove alone: - Worked in state of residence: - Worked outside county of residence","Car, truck, or van - drove alone: - Worked outside state of residence","Car, truck, or van - carpooled:","Car, truck, or van - carpooled: - Worked in state of residence:","Car, truck, or van - carpooled: - Worked in state of residence: - Worked in county of residence","Car, truck, or van - carpooled: - Worked in state of residence: - Worked outside county of residence","Car, truck, or van - carpooled: - Worked outside state of residence",Public transportation (excluding taxicab):,Public transportation (excluding taxicab): - Worked in state of residence:,Public transportation (excluding taxicab): - Worked in state of residence: - Worked in county of residence,Public transportation (excluding taxicab): - Worked in state of residence: - Worked outside county of residence,Public transportation (excluding taxicab): - Worked outside state of residence,Walked:,Walked: - Worked in state of residence:,Walked: - Worked in state of residence: - Worked in county of residence,Walked: - Worked in state of residence: - Worked outside county of residence,Walked: - Worked outside state of residence,"Taxicab, motorcycle, bicycle, or other means:","Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence:","Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked in county of residence","Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked outside county of residence","Taxicab, motorcycle, bicycle, or other means: - Worked outside state of residence",Worked at home
6041,12/31/2006,0.9952,0.6708,0.3244,0.0048,0.6523,0.6500,0.4324,0.2176,0.0023,0.1229,0.1214,0.0821,0.0393,0.0014,0.0789,0.0785,0.0225,0.0560,0.0004,0.0269,0.0269,0.0253,0.0016,0.0000,0.0236,0.0229,0.0130,0.0099,0.0007,0.0955
6047,12/31/2006,0.9970,0.7604,0.2366,0.0030,0.7114,0.7091,0.5180,0.1911,0.0023,0.1643,0.1636,0.1222,0.0414,0.0007,0.0075,0.0075,0.0071,0.0004,0.0000,0.0367,0.0367,0.0354,0.0013,0.0000,0.0276,0.0276,0.0252,0.0023,0.0000,0.0525
6053,12/31/2006,0.9962,0.8930,0.1032,0.0038,0.6830,0.6824,0.6055,0.0769,0.0006,0.1781,0.1778,0.1536,0.0242,0.0003,0.0298,0.0298,0.0291,0.0007,0.0000,0.0514,0.0503,0.0500,0.0003,0.0011,0.0119,0.0101,0.0090,0.0011,0.0019,0.0458
6055,12/31/2006,0.9965,0.8061,0.1903,0.0035,0.7364,0.7336,0.5715,0.1621,0.0028,0.1183,0.1183,0.0969,0.0214,0.0000,0.0128,0.0120,0.0052,0.0068,0.0008,0.0400,0.0400,0.0400,0.0000,0.0000,0.0227,0.0227,0.0227,0.0000,0.0000,0.0698
6057,12/31/2006,0.9892,0.7430,0.2463,0.0108,0.7204,0.7116,0.5201,0.1915,0.0088,0.1311,0.1311,0.0845,0.0466,0.0000,0.0086,0.0086,0.0053,0.0033,0.0000,0.0390,0.0370,0.0363,0.0008,0.0019,0.0199,0.0199,0.0158,0.0041,0.0000,0.0810
6059,12/31/2006,0.9962,0.8381,0.1581,0.0038,0.7769,0.7746,0.6435,0.1311,0.0022,0.1131,0.1129,0.0912,0.0216,0.0002,0.0336,0.0334,0.0299,0.0034,0.0002,0.0196,0.0194,0.0189,0.0005,0.0002,0.0147,0.0138,0.0123,0.0015,0.0010,0.0421
6061,12/31/2006,0.9866,0.6214,0.3652,0.0134,0.7797,0.7706,0.4653,0.3053,0.0091,0.1040,0.1025,0.0534,0.0490,0.0015,0.0076,0.0070,0.0029,0.0041,0.0006,0.0153,0.0145,0.0129,0.0015,0.0008,0.0173,0.0160,0.0107,0.0052,0.0013,0.0761
6065,12/31/2006,0.9940,0.7150,0.2790,0.0060,0.7385,0.7352,0.5247,0.2105,0.0033,0.1674,0.1661,0.1065,0.0596,0.0013,0.0144,0.0143,0.0094,0.0050,0.0000,0.0188,0.0186,0.0178,0.0008,0.0002,0.0151,0.0139,0.0108,0.0031,0.0012,0.0458
6067,12/31/2006,0.9954,0.8298,0.1656,0.0046,0.7506,0.7484,0.6112,0.1372,0.0022,0.1339,0.1336,0.1101,0.0236,0.0003,0.0315,0.0315,0.0298,0.0018,0.0000,0.0202,0.0199,0.0195,0.0004,0.0003,0.0194,0.0177,0.0149,0.0027,0.0017,0.0442
6071,12/31/2006,0.9954,0.7045,0.2909,0.0046,0.7744,0.7717,0.5417,0.2300,0.0027,0.1417,0.1410,0.0884,0.0526,0.0007,0.0147,0.0145,0.0095,0.0050,0.0001,0.0161,0.0160,0.0153,0.0006,0.0002,0.0150,0.0142,0.0115,0.0027,0.0008,0.0380
